Mean NDVI,PC_PF,Class,Mean_Wind_Speed,Mean_Temperature_C,Highest_Temp_C,Mean_Humidity_PC
0.7,25.23,0,16,10,20,76
0.702,23,0,11,10,19,89
0.713,16.34,0,23,11,26,85
0.72,14.85,0,22,14,32,75
0.717,20,0,28,16,31,76
0.658,40.38,0,21,18,30,74
0.645,34.65,0,22,19,41,73
0.63,38.1,0,18,17,35,70
0.605,42.15,0,22,17,32,71
0.621,41.74,0,24,15,29,76
0.642,35.29,0,21,12,26,72
0.674,20.59,0,26,10,22,76
0.707,12.04,0,23,9,20,85
0.693,19.05,0,16,9,20,79
0.664,25.24,0,21,21,21,76
0.647,29.25,1,19,14,26,75
0.62,33.33,1,19,16,29,72
0.55,53.92,1,26,18,37,79
0.536,61.76,1,22,19,44,72
0.511,63.36,1,26,18,43,62
0.599,53.84,1,27,16,40,63
0.626,28.3,0,23,14,33,66
0.681,21.57,0,26,12,27,70
0.691,20,0,29,9,23,70
0.722,13.33,0,31,10,18,73
0.74,9.8,0,22,9,22,78
0.736,10,0,26,12,26,73
0.687,13.59,0,24,15,31,73
0.664,19,0,22,18,36,70
0.639,30.69,1,26,19,38,68
0.591,44.66,1,23,21,45,69
0.606,40.38,0,24,20,38,70
0.656,27.45,0,27,16,32,71
0.656,28.71,0,23,14,28,71
0.694,21.15,0,22,24,24,68
0.707,11.32,0,27,10,21,66
0.712,17.82,0,28,10,20,65
0.723,11,0,26,9,19,77
0.734,15.68,0,29,13,28,69
0.716,14.71,0,19,16,34,71
0.69,22.55,0,22,18,33,66
0.688,32.04,0,21,19,35,68
0.634,33.98,0,23,20,42,72
0.629,31.68,0,21,19,37,71
0.617,37,0,19,17,35,70
0.623,38.61,0,21,14,32,72
0.659,30.69,0,27,15,35,64
0.798,6.8,0,21,10,24,70
0.795,10.28,0,18,9,22,70
0.785,12.5,0,16,8,18,81
0.754,16.47,0,11,11,23,79
0.774,15.04,0,17,14,27,76
0.744,20.35,0,21,19,36,74
0.721,20,0,24,18,36,70
0.688,28.13,0,25,19,38,69
0.686,24.76,0,17,18,35,67
0.675,23.76,0,21,15,35,71
0.718,16.83,0,23,13,28,67
0.735,21,0,17,10,22,74
0.756,17.82,0,26,10,21,75
0.808,9.8,0,23,9,19,80
0.799,8.91,0,24,13,26,71
0.745,18.02,0,16,18,34,83
0.737,17.92,0,23,19,39,76
0.679,28.13,0,22,19,36,79
0.697,23.71,0,24,18,40,71
0.729,12.51,0,25,15,31,78
0.741,12.12,0,18,15,33,76
0.752,16.83,0,17,11,27,78
0.762,12.51,0,24,9,19,81
0.798,11.71,0,27,8,17,79
0.797,14.16,0,15,9,19,83
0.794,10.09,0,26,11,21,76
0.753,20.83,0,29,16,36,72
0.733,19,0,24,20,35,78
0.675,26,0,23,19,38,72
0.676,25,0,17,18,33,75
0.678,17.65,0,22,15,34,68
0.694,18.27,0,26,14,28,74
0.755,11.71,0,17,12,27,76
0.794,13.27,0,16,9,20,83
0.795,13.27,0,21,10,20,74
0.809,7.55,0,16,10,18,82
0.74,8.69,0,21,15,31,81
0.709,22.32,0,19,18,34,74
0.699,22.11,0,22,19,40,68
0.693,22.81,0,17,20,41,64
0.688,20.19,0,24,18,37,69
0.734,24.59,0,28,14,31,75
0.711,15.69,0,24,13,30,68
0.735,11.11,0,29,13,27,72
0.753,9.43,0,25,11,21,68
0.75,11.93,0,22,10,20,75
0.767,7.69,0,14,9,19,87
0.721,18.29,0,12,11,25,76
0.721,12.19,0,18,15,25,76
